Date,Value
2015-12-31,1979714.0
2014-12-31,1997827.0
2013-12-31,2085522.0
2012-12-31,2120080.0
2011-12-31,2148775.0
2010-12-31,2159785.0
2009-12-31,2135508.0
2008-12-31,2222224.0
2007-12-31,2264129.0
2006-12-31,2312154.0
2005-12-31,2325920.0
2004-12-31,2368040.0
2003-12-31,2395501.0
2002-12-31,2370891.0
2001-12-31,2336031.0
2000-12-31,2267968.0
1999-12-31,2222925.0
1998-12-31,2070409.0
1997-12-31,1988186.0
1996-12-31,1920253.0
1995-12-31,1869984.0
1994-12-31,2097650.0
1993-12-31,2259332.0
1992-12-31,2500324.0
1991-12-31,2763439.0
1990-12-31,2908961.0
1989-12-31,3026535.0
1988-12-31,2975245.0
1987-12-31,2875641.0
1986-12-31,2591461.0
1985-12-31,2533762.0
1984-12-31,2505435.0
1983-12-31,2346007.0
1982-12-31,1895486.0
1981-12-31,2617836.0
