Date,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All
12/27/2016,225314,46756,29781,56886,110478,131173,214120,217839,11194,7475,20.8,13.2,25.2,49,58.2,95,96.7,5,3.3,12.8,18,21.4,27.5,8.1,12,14.5,19
12/20/2016,218739,50105,26078,51882,104706,133803,206694,211763,12045,6976,22.9,11.9,23.7,47.9,61.2,94.5,96.8,5.5,3.2,11.8,18.6,20.4,28.2,8.5,12.7,15.2,20.2
12/13/2016,214889,49402,23431,49366,104026,134976,202795,207773,12094,7116,23,10.9,23,48.4,62.8,94.4,96.7,5.6,3.3,12.3,18.4,20.7,27.8,8.5,12.5,15.2,20
12/6/2016,223980,52431,19529,53840,105915,144015,212186,217383,11794,6597,23.4,8.7,24,47.3,64.3,94.7,97.1,5.3,2.9,12.4,19.2,21,28.8,9.3,13.1,15.4,20.5
11/29/2016,217890,63463,13734,44764,97460,153047,205688,211545,12203,6345,29.1,6.3,20.5,44.7,70.2,94.4,97.1,5.6,2.9,11.6,20.1,20.5,30.9,10.2,15.3,17.4,23.2
11/22/2016,219703,71256,13211,43748,92525,156350,207529,213309,12174,6394,32.4,6,19.9,42.1,71.2,94.5,97.1,5.5,2.9,11.1,20.5,19.6,31.4,10.7,16.5,17.8,24.9
11/15/2016,232722,74909,14244,48042,97504,163665,220454,225951,12268,6771,32.2,6.1,20.6,41.9,70.3,94.7,97.1,5.3,2.9,10.5,20.1,18.9,30.6,10.2,15.4,17.3,23.6
11/8/2016,279072,83456,15514,73277,109630,181905,266363,270696,12709,8376,29.9,5.6,26.3,39.3,65.2,95.4,97,4.6,3,10.8,19,19,30.3,8.6,13.3,14.7,20.1
11/1/2016,265143,79804,14256,72639,100340,170042,252784,256937,12359,8206,30.1,5.4,27.4,37.8,64.1,95.3,96.9,4.7,3.1,11.2,18.5,19,29.6,8.7,13.5,14.9,19.8
10/25/2016,252986,75753,14858,66116,98571,163798,240440,244772,12546,8214,29.9,5.9,26.1,39,64.7,95,96.8,5,3.2,11.8,19.1,20.1,30.2,8.9,13.6,14.9,20
10/18/2016,233858,66731,17839,59682,94985,149067,221398,226588,12460,7270,28.5,7.6,25.5,40.6,63.7,94.7,96.9,5.3,3.1,11.8,18.5,20.5,29.5,9.5,13.6,16.1,20.5
10/11/2016,224681,62189,21183,55378,94416,141522,211984,218084,12698,6598,27.7,9.4,24.6,42,63,94.3,97.1,5.7,2.9,12.3,19.1,20.8,29.2,9.8,13.4,16.5,20.4
10/4/2016,222978,64700,22993,53963,91630,139178,210293,216134,12685,6844,29,10.3,24.2,41.1,62.4,94.3,96.9,5.7,3.1,12,19,20.5,29.4,9.9,13.5,16.4,20.7
9/27/2016,225155,67605,20274,54009,91356,144191,212971,218473,12184,6682,30,9,24,40.6,64,94.6,97,5.4,3,12.1,19.5,20.7,30.2,9.8,14.2,16.3,21.2
9/20/2016,221337,69171,19344,54647,85477,139790,209295,213782,12041,7555,31.3,8.7,24.7,38.6,63.2,94.6,96.6,5.4,3.4,11.2,20.4,20.1,31.5,10.1,14.8,16.7,22.5
9/13/2016,211508,65299,17263,50110,84646,136711,200055,204084,11452,7424,30.9,8.2,23.7,40,64.6,94.6,96.5,5.4,3.5,11.4,20,20.4,31.6,10.6,14.6,17.5,22.5
9/6/2016,215377,63731,15086,53642,85734,139391,203108,208119,12269,7258,29.6,7,24.9,39.8,64.7,94.3,96.6,5.7,3.4,11.2,18.9,20.3,31.1,10.5,14.1,17.3,22
8/30/2016,198454,56143,18454,46513,84152,126431,186808,191399,11646,7055,28.3,9.3,23.4,42.4,63.7,94.1,96.4,5.9,3.6,11.9,18.2,21.2,30.1,11.1,13.3,18.5,21.4
8/23/2016,197230,59952,22344,43553,81490,124324,184995,190221,12235,7009,30.4,11.3,22.1,41.3,63,93.8,96.4,6.2,3.6,13.4,18.5,22.3,30.3,12.1,13.3,18.5,21.3
8/16/2016,201626,53435,22037,41266,93184,131054,187885,194357,13740,7268,26.5,10.9,20.5,46.2,65,93.2,96.4,6.8,3.6,13.6,19.5,22.5,31.1,11.8,12.6,17.9,20.5
8/9/2016,230633,56708,20108,56758,103104,146959,216570,223825,14063,6808,24.6,8.7,24.6,44.7,63.7,93.9,97,6.1,3,15.7,19.2,23.9,30,10.3,11.3,15.5,18.3
8/2/2016,236998,58319,18381,60708,104323,150942,223350,230031,13648,6967,24.6,7.8,25.6,44,63.7,94.2,97.1,5.8,2.9,14.5,18.9,22.6,29.8,10.1,11.1,15.4,17.8
7/26/2016,232572,59380,17100,57535,103143,150905,220058,225539,12514,7033,25.5,7.4,24.7,44.3,64.9,94.6,97,5.4,3,14.9,19.1,23.2,30.5,10.3,11.6,15.7,18.7
7/19/2016,238381,62062,18488,60893,101472,151540,224427,230921,13955,7460,26,7.8,25.5,42.6,63.6,94.1,96.9,5.9,3.1,14.5,18.6,22.8,30.1,10,12.3,15.3,19.2
7/12/2016,229321,60278,17752,56154,98618,148559,215051,222466,14270,6856,26.3,7.7,24.5,43,64.8,93.8,97,6.2,3,14.3,18.7,22.9,30.3,10.3,12.5,15.6,19.7
7/5/2016,228420,57056,17030,58538,99016,144510,214610,220078,13810,8342,25,7.5,25.6,43.3,63.3,94,96.3,6,3.7,14.1,18.5,22.6,29.5,10,12.4,15.4,19.4
6/28/2016,218830,55064,18880,52742,98628,139774,206434,211396,12396,7435,25.2,8.6,24.1,45.1,63.9,94.3,96.6,5.7,3.4,14.4,18.4,22.9,30,10,12.3,15.8,19.6
6/21/2016,222253,53535,19284,57792,98113,137346,209440,214422,12814,7832,24.1,8.7,26,44.1,61.8,94.2,96.5,5.8,3.5,13.2,18.3,21.9,29.9,9.5,11.7,15.3,18.4
6/14/2016,226804,48128,21870,58625,105889,137368,212641,217863,14163,8942,21.2,9.6,25.8,46.7,60.6,93.8,96.1,6.2,3.9,13.5,18.1,21.4,28.9,8.2,10.4,14,17.2
6/7/2016,241218,42081,32663,67036,117483,132444,226600,232143,14618,9075,17.4,13.5,27.8,48.7,54.9,93.9,96.2,6.1,3.8,13.7,16.5,21.3,26.2,7.7,9.1,12.4,14.8
5/31/2016,244037,37546,37460,68576,122319,129735,228441,235771,15596,8266,15.4,15.3,28.1,50.1,53.2,93.6,96.6,6.4,3.4,12.6,14.3,20.4,23.3,7.6,8.4,12.4,13.7
5/24/2016,231392,39815,29515,63185,115008,130936,218008,223636,13384,7756,17.2,12.8,27.3,49.7,56.6,94.2,96.6,5.8,3.4,13.2,15.9,21.3,24.7,8.3,9.1,13.9,14.8
5/17/2016,237114,46454,23980,65885,112894,139687,225233,229552,11881,7562,19.6,10.1,27.8,47.6,58.9,95,96.8,5,3.2,14.3,17.4,22.7,26.4,8.4,9.7,13.8,15.9
