Date, Country,Temperature (Monthly – C),Precip (mm)
01/31/91,BRA,25.643,260.878
02/28/91,BRA,25.9575,193.859
03/31/91,BRA,25.6557,238.866
04/30/91,BRA,25.3129,194.848
05/31/91,BRA,24.791,119.09
06/30/91,BRA,23.9843,85.4127
07/31/91,BRA,23.2685,68.9336
08/31/91,BRA,23.9083,48.5451
09/30/91,BRA,25.1664,69.8317
10/31/91,BRA,25.5752,96.1997
11/30/91,BRA,25.9412,133.443
12/31/91,BRA,25.9974,162.671
01/31/92,BRA,25.7081,232.165
02/29/92,BRA,25.8255,227.438
03/31/92,BRA,25.4243,225.177
04/30/92,BRA,25.178,163.6
05/31/92,BRA,25.1189,95.3013
06/30/92,BRA,24.2869,56.1908
07/31/92,BRA,22.8491,63.4731
08/31/92,BRA,23.8493,53.9593
09/30/92,BRA,24.4257,95.8098
10/31/92,BRA,25.5879,117.602
11/30/92,BRA,25.3478,169.348
12/31/92,BRA,25.3391,185.556
01/31/93,BRA,25.7163,212.073
02/28/93,BRA,25.3563,227.005
03/31/93,BRA,25.6753,185.583
04/30/93,BRA,25.5508,163.112
05/31/93,BRA,24.3781,114.775
06/30/93,BRA,23.6627,75.5808
07/31/93,BRA,23.3993,65.2647
08/31/93,BRA,23.9156,60.2982
09/30/93,BRA,25.0619,84.6527
10/31/93,BRA,25.9872,122.421
11/30/93,BRA,25.8444,179.768
12/31/93,BRA,25.7498,208.841
01/31/94,BRA,25.5448,265.248
02/28/94,BRA,25.7423,217.778
03/31/94,BRA,25.4517,258.888
04/30/94,BRA,25.2104,167.747
05/31/94,BRA,24.923,123.613
06/30/94,BRA,23.5394,114.092
07/31/94,BRA,23.2876,63.0297
08/31/94,BRA,24.2654,56.0826
09/30/94,BRA,25.5113,83.3549
10/31/94,BRA,26.1809,120.58
11/30/94,BRA,26.0029,158.92
12/31/94,BRA,25.9198,196.57
01/31/95,BRA,26.1481,189.563
02/28/95,BRA,26.0212,227.673
03/31/95,BRA,26.0192,223.696
04/30/95,BRA,25.12,199.476
05/31/95,BRA,24.2829,142.946
06/30/95,BRA,23.7991,87.9987
07/31/95,BRA,24.2484,71.3748
08/31/95,BRA,25.1264,42.6661
09/30/95,BRA,25.7505,66.9051
10/31/95,BRA,26.1695,115.498
11/30/95,BRA,25.8871,190.862
12/31/95,BRA,25.8754,226.168
01/31/96,BRA,26.0441,222.935
02/29/96,BRA,26.1958,211.877
03/31/96,BRA,25.5572,255.542
04/30/96,BRA,25.1492,207.154
05/31/96,BRA,24.4024,121.134
06/30/96,BRA,22.9714,77.9141
07/31/96,BRA,23.4198,76.1993
08/31/96,BRA,24.4626,52.5808
09/30/96,BRA,25.1977,77.7471
10/31/96,BRA,25.9504,141.984
11/30/96,BRA,25.7197,174.677
12/31/96,BRA,26.2828,186.571
01/31/97,BRA,25.7316,240.868
02/28/97,BRA,25.8774,218.842
03/31/97,BRA,25.2616,292.063
04/30/97,BRA,25.197,186.506
05/31/97,BRA,24.3401,124.507
06/30/97,BRA,23.7487,64.8979
07/31/97,BRA,24.3372,50.4032
08/31/97,BRA,24.8116,54.5595
09/30/97,BRA,25.6764,68.31
10/31/97,BRA,26.9505,107.019
11/30/97,BRA,26.7617,162.081
12/31/97,BRA,26.4589,225.609
01/31/98,BRA,26.7072,198.729
02/28/98,BRA,26.8819,190.24
03/31/98,BRA,26.4072,212.419
04/30/98,BRA,26.2811,182.788
05/31/98,BRA,24.7912,123.302
06/30/98,BRA,23.8738,91.3665
07/31/98,BRA,24.4916,61.3108
08/31/98,BRA,25.4066,67.8746
09/30/98,BRA,25.7172,78.6213
10/31/98,BRA,26.3697,126.911
11/30/98,BRA,26.0175,191.727
12/31/98,BRA,26.2946,203.727
01/31/99,BRA,26.1067,245.532
02/28/99,BRA,26.0443,215.181
03/31/99,BRA,25.8348,227.251
04/30/99,BRA,25.1187,180.127
05/31/99,BRA,23.9345,144.936
06/30/99,BRA,23.7212,84.6363
07/31/99,BRA,23.7914,62.0607
08/31/99,BRA,24.4096,45.5621
09/30/99,BRA,25.5916,83.7153
10/31/99,BRA,26.015,117.683
11/30/99,BRA,25.8869,173.981
12/31/99,BRA,26.1328,228.322
01/31/00,BRA,25.9065,255.086
02/29/00,BRA,25.7341,262.415
03/31/00,BRA,25.5243,262.83
04/30/00,BRA,25.2622,201.719
05/31/00,BRA,24.6355,128.989
06/30/00,BRA,24.0547,78.3671
07/31/00,BRA,22.9562,74.1941
08/31/00,BRA,24.7715,71.4196
09/30/00,BRA,25.1845,108.85
10/31/00,BRA,26.5363,107.227
11/30/00,BRA,25.8937,180.837
12/31/00,BRA,25.9276,215.711
01/31/01,BRA,25.8022,212.125
02/28/01,BRA,26.1029,210.466
03/31/01,BRA,26.0353,231.306
04/30/01,BRA,25.8097,168.994
05/31/01,BRA,24.771,137.072
06/30/01,BRA,23.245,92.9495
07/31/01,BRA,24.2418,69.1323
08/31/01,BRA,25.1831,45.7124
09/30/01,BRA,25.6916,87.8372
10/31/01,BRA,26.3197,132.565
11/30/01,BRA,26.4455,174.975
12/31/01,BRA,26.039,225.24
01/31/02,BRA,25.9703,272.975
02/28/02,BRA,26.0612,212.288
03/31/02,BRA,26.2802,212.225
04/30/02,BRA,25.9732,186.854
05/31/02,BRA,25.1945,152.347
06/30/02,BRA,24.0269,79.5932
07/31/02,BRA,24.3371,63.3801
08/31/02,BRA,25.3269,55.8905
09/30/02,BRA,25.689,72.054
10/31/02,BRA,26.9941,119.59
11/30/02,BRA,26.4679,146.828
12/31/02,BRA,26.3824,237.288
01/31/03,BRA,26.3988,214.464
02/28/03,BRA,26.4573,232.662
03/31/03,BRA,26.0458,220.832
04/30/03,BRA,25.709,173.983
05/31/03,BRA,24.7453,134.164
06/30/03,BRA,24.5994,87.1816
07/31/03,BRA,23.9775,57.2875
08/31/03,BRA,24.2107,64.1158
09/30/03,BRA,25.5222,84.83
10/31/03,BRA,26.2036,107.933
11/30/03,BRA,26.2583,151.721
12/31/03,BRA,26.5912,161.256
01/31/04,BRA,26.1081,267.688
02/29/04,BRA,25.7854,270.303
03/31/04,BRA,25.9067,252.8
04/30/04,BRA,26.0214,162.485
05/31/04,BRA,24.3635,132.326
06/30/04,BRA,23.8823,74.3153
07/31/04,BRA,23.6613,76.1717
08/31/04,BRA,24.5159,53.0218
09/30/04,BRA,26.1668,57.4625
10/31/04,BRA,26.3803,121.908
11/30/04,BRA,26.4008,141.84
12/31/04,BRA,26.2449,182.632
01/31/05,BRA,26.665,220.888
02/28/05,BRA,26.4822,225.245
03/31/05,BRA,26.1665,275.704
04/30/05,BRA,25.9846,189.985
05/31/05,BRA,25.1517,158.104
06/30/05,BRA,24.5166,68.9473
07/31/05,BRA,23.9213,46.6327
08/31/05,BRA,25.4403,52.5465
09/30/05,BRA,25.2846,71.4529
10/31/05,BRA,26.8205,117.666
11/30/05,BRA,26.7675,141.097
12/31/05,BRA,25.9458,245.874
01/31/06,BRA,26.5366,212.477
02/28/06,BRA,26.275,226.571
03/31/06,BRA,26.1044,256.832
04/30/06,BRA,25.3955,216.115
05/31/06,BRA,24.0456,158.622
06/30/06,BRA,23.8359,80.4482
07/31/06,BRA,24.3867,60.2834
08/31/06,BRA,25.2383,45.3446
09/30/06,BRA,25.6825,71.5101
10/31/06,BRA,26.577,130.381
11/30/06,BRA,26.0827,177.536
12/31/06,BRA,26.471,212.312
01/31/07,BRA,26.4631,211.01
02/28/07,BRA,26.29,238.548
03/31/07,BRA,26.1623,206.324
04/30/07,BRA,25.9278,180.34
05/31/07,BRA,24.7602,126.265
06/30/07,BRA,24.2219,66.7872
07/31/07,BRA,23.949,71.0081
08/31/07,BRA,24.3313,53.2561
09/30/07,BRA,26.2888,49.9335
10/31/07,BRA,26.8244,112.759
11/30/07,BRA,26.2846,164.382
12/31/07,BRA,26.1926,207.879
01/31/08,BRA,25.541,269.327
02/29/08,BRA,25.7479,242.999
03/31/08,BRA,25.6103,282.227
04/30/08,BRA,25.177,200.521
05/31/08,BRA,24.0721,136.21
06/30/08,BRA,23.3609,78.7739
07/31/08,BRA,24.2316,54.1944
08/31/08,BRA,25.2559,55.0211
09/30/08,BRA,25.5867,72.8734
10/31/08,BRA,26.843,117.422
11/30/08,BRA,26.1698,158.431
12/31/08,BRA,26.0047,234.8
01/31/09,BRA,25.786,244.211
02/28/09,BRA,25.7919,239.898
03/31/09,BRA,26.0315,258.226
04/30/09,BRA,25.4516,203.406
05/31/09,BRA,24.7343,142.902
06/30/09,BRA,23.4664,100.967
07/31/09,BRA,24.185,73.1322
08/31/09,BRA,25.1073,60.1821
09/30/09,BRA,26.3294,79.7847
10/31/09,BRA,26.5985,150.08
11/30/09,BRA,27.164,138.861
12/31/09,BRA,26.1718,238.941
01/31/10,BRA,26.5247,239.131
02/28/10,BRA,27.1162,217.316
03/31/10,BRA,26.8646,235.459
04/30/10,BRA,25.8815,200.44
05/31/10,BRA,25.0834,132.966
06/30/10,BRA,23.8137,73.3218
07/31/10,BRA,24.1657,66.8321
08/31/10,BRA,24.768,40.6411
09/30/10,BRA,26.6081,58.2369
10/31/10,BRA,26.642,112.547
11/30/10,BRA,26.1814,165.323
12/31/10,BRA,26.2464,216.298
01/31/11,BRA,25.9,242.105
02/28/11,BRA,25.9348,255.756
03/31/11,BRA,25.6607,278.911
04/30/11,BRA,25.6547,202.007
05/31/11,BRA,24.772,135.243
06/30/11,BRA,24.1581,72.2356
07/31/11,BRA,24.358,59.303
08/31/11,BRA,25.2135,52.8688
09/30/11,BRA,26.2502,50.6007
10/31/11,BRA,26.2576,141.086
11/30/11,BRA,26.0925,167.478
12/31/11,BRA,26.1414,174.786
01/31/12,BRA,25.6388,256.525
02/29/12,BRA,25.8926,236.079
03/31/12,BRA,25.8586,221.277
04/30/12,BRA,25.9351,167.591
05/31/12,BRA,24.9448,110.244
06/30/12,BRA,24.4159,73.5002
07/31/12,BRA,24.159,61.2338
08/31/12,BRA,25.013,38.7857
09/30/12,BRA,26.4278,60.5942
10/31/12,BRA,27.1908,87.7291
11/30/12,BRA,26.6045,157.772
12/31/12,BRA,26.5033,181.369
01/31/13,BRA,26.2797,234.837
02/28/13,BRA,26.421,224.993
03/31/13,BRA,26.4633,201.49
04/30/13,BRA,25.7173,169.603
05/31/13,BRA,25.0598,140.204
06/30/13,BRA,24.7923,87.4064
07/31/13,BRA,24.2248,72.0245
08/31/13,BRA,24.5482,59.2378
09/30/13,BRA,26.1844,69.5931
10/31/13,BRA,26.541,121.637
11/30/13,BRA,26.1609,174.882
