Date,Brazil Production (tons)
2015-12-31,2645494
2014-12-31,2804070
2013-12-31,2964538
2012-12-31,3037534
2011-12-31,2700540
2010-12-31,2907265
2009-12-31,2440056
2008-12-31,2796927
2007-12-31,2249011
2006-12-31,2573368
2005-12-31,2140169
2004-12-31,2465710
2003-12-31,1987074
2002-12-31,2610524
2001-12-31,3639138
2000-12-31,3807124
1999-12-31,3263704
1998-12-31,3378731
1997-12-31,2457025
1996-12-31,2738391
1995-12-31,1860269
1994-12-31,2614578
1993-12-31,2557518
1992-12-31,2588745
1991-12-31,3040763
1990-12-31,2929711
1989-12-31,3059685
1988-12-31,2737660
1987-12-31,4405416
1986-12-31,2082811
1985-12-31,3821292
1984-12-31,2840563
1983-12-31,3343176
1982-12-31,1915861
1981-12-31,4064421
